bank,title,review_id,content,rating,date,thumbs_up,version,source
Commercial Bank,Commercial Bank of Ethiopia,a7d1c799-ba53-4a0a-a8d6-c5400a009825,A great app. It's like carrying a bank in your pocket.,4,2025-06-07,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,64ed5562-1758-4eb8-9291-8b6edc394118,More than garrantty bank EBC.,4,2025-06-07,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d0c05687-ddd4-43fb-95a9-08f6358d80a2,really am happy to this app it is Siple to use everything,5,2025-06-07,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,811bf820-3529-433a-9b6d-e624fa23a16a,I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,be2cb2ac-bbe0-4175-81c4-9f6c86afdaaa,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,8efd71e9-59cd-41ce-8c5c-12052dee9ad0,what is this app problem???,1,2025-06-05,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,b12d0383-9b27-4e49-a94d-277a43b15800,the app is proactive and a good connections.,5,2025-06-05,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,dd9f9e37-177a-46df-b877-d0edaa9aed29,I cannot send to cbebirr app. through this app.,3,2025-06-05,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,8e34703c-203c-4180-8b32-bfd0b3f0c871,good,4,2025-06-05,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,6f0c7fa2-3ce1-4310-b135-54fe0cb9fccd,not functional,1,2025-06-05,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f0dd744a-9409-4619-9800-7ea501571b09,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,3949d8e0-7ac4-4b43-b4f4-a45d6a888a85,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,36f83ed0-3935-4ebd-98e5-34cf25095d32,best,5,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f2bb4b73-090e-4834-8c89-2263a1158c38,bezabih,5,2025-06-04,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,54f070b9-895f-40e8-be18-acb16f8af7fa,Best Mobile Banking app ever,5,2025-06-04,0,5.0.4,Google Play
Commercial Bank,Commercial Bank of Ethiopia,aa72fd94-aca8-48b2-bae2-29ad7633c7fb,good,5,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,9af95d2a-e42c-45ff-a4c9-5c38765df4a4,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,88a64315-9de3-4a35-ac27-5ff37c2833b6,good,5,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,c2cf0ff7-85ac-4e7c-902d-a8c5a8d69e22,Good,5,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,acadb124-d34c-4387-97e8-266200c78d4e,👌👍,5,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,42eed344-f5b7-49be-a7eb-b1c14386e20b,very niec,5,2025-06-04,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,fce00cda-d71a-486e-a4c2-7479ab7793bc,best app of finance,5,2025-06-04,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f543a13e-bc0f-4348-b57f-3a83eb67206c,yetemeta,1,2025-06-03,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,2470d199-834a-4134-a0f9-8c684ba75491,Engida Kebede Fetera,5,2025-06-03,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,4beee0dd-05ad-474c-bdff-0146723f2179,good,5,2025-06-03,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,428e5117-387f-4c9d-b095-3230e3f83a8a,it is not safety,1,2025-06-03,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f897e474-f560-4cf9-b66b-48c455443bfe,NICE bank,5,2025-06-03,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,2f605bab-a62d-4298-bb1d-0b749bc666c4,it is like a childish app make it better the worst I have ever seen,1,2025-06-02,0,,Google Play
