bank,title,review_id,content,rating,date,thumbs_up,version,source,cleaned_text,sentiment_label,sentiment_score,keywords,themes
Commercial Bank,Commercial Bank of Ethiopia,a7d1c799-ba53-4a0a-a8d6-c5400a009825,A great app. It's like carrying a bank in your pocket.,4,2025-06-07,0,5.1.0,Google Play,great app like carry bank pocket,positive,0.9992928504943848,"great,like,bank,app",Other
Commercial Bank,Commercial Bank of Ethiopia,64ed5562-1758-4eb8-9291-8b6edc394118,More than garrantty bank EBC.,4,2025-06-07,0,,Google Play,garrantty bank ebc,positive,0.9971959590911865,bank,Other
Commercial Bank,Commercial Bank of Ethiopia,d0c05687-ddd4-43fb-95a9-08f6358d80a2,really am happy to this app it is Siple to use everything,5,2025-06-07,0,5.1.0,Google Play,happy app siple use,positive,0.9988697171211243,"use,app",Other
Commercial Bank,Commercial Bank of Ethiopia,811bf820-3529-433a-9b6d-e624fa23a16a,I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,0,5.1.0,Google Play,like app user interface basic attractive,negative,0.9996840953826904,"interface,user,like,app",User Interface
Commercial Bank,Commercial Bank of Ethiopia,be2cb2ac-bbe0-4175-81c4-9f6c86afdaaa,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,0,,Google Play,not atms support accounttoaccount transfer like country kenya nigeria south africa,negative,0.9964652061462402,"transfer,like","Account Access Issues,Transaction Performance,Customer Support"
Commercial Bank,Commercial Bank of Ethiopia,8efd71e9-59cd-41ce-8c5c-12052dee9ad0,what is this app problem???,1,2025-06-05,0,5.1.0,Google Play,app problem,negative,0.9996225833892822,"problem,app",Reliability
Commercial Bank,Commercial Bank of Ethiopia,b12d0383-9b27-4e49-a94d-277a43b15800,the app is proactive and a good connections.,5,2025-06-05,0,5.1.0,Google Play,app proactive good connection,positive,0.9998679161071777,"good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,dd9f9e37-177a-46df-b877-d0edaa9aed29,I cannot send to cbebirr app. through this app.,3,2025-06-05,0,,Google Play,send cbebirr app app,negative,0.9953354001045227,"send,app",Other
Commercial Bank,Commercial Bank of Ethiopia,8e34703c-203c-4180-8b32-bfd0b3f0c871,good,4,2025-06-05,0,,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,6f0c7fa2-3ce1-4310-b135-54fe0cb9fccd,not functional,1,2025-06-05,0,5.1.0,Google Play,functional,negative,0.999778687953949,,Other
Commercial Bank,Commercial Bank of Ethiopia,f0dd744a-9409-4619-9800-7ea501571b09,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,0,5.1.0,Google Play,everytime uninstall app reach physically oldy s security layer d check fraud attempt app source directlysource app store play store etc implicitly 2025 physical presence app install traditionaltraditionally rare,negative,0.9905162453651428,"app,security",Customer Support
Commercial Bank,Commercial Bank of Ethiopia,3949d8e0-7ac4-4b43-b4f4-a45d6a888a85,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,0,5.1.0,Google Play,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,negative,0.9616847634315491,ነው,Other
Commercial Bank,Commercial Bank of Ethiopia,36f83ed0-3935-4ebd-98e5-34cf25095d32,best,5,2025-06-04,0,5.1.0,Google Play,well,positive,0.9997941851615906,,Other
Commercial Bank,Commercial Bank of Ethiopia,f2bb4b73-090e-4834-8c89-2263a1158c38,bezabih,5,2025-06-04,0,,Google Play,bezabih,positive,0.9654072523117065,,Other
Commercial Bank,Commercial Bank of Ethiopia,54f070b9-895f-40e8-be18-acb16f8af7fa,Best Mobile Banking app ever,5,2025-06-04,0,5.0.4,Google Play,good mobile banking app,positive,0.9997294545173645,"banking app,mobile banking,mobile,banking,good",Other
Commercial Bank,Commercial Bank of Ethiopia,aa72fd94-aca8-48b2-bae2-29ad7633c7fb,good,5,2025-06-04,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
